player_id,player,team,average_z_score,matches_played,primary_position,simplified_position,detailed_position,position_frequency,matches_with_position_data,num_positions_played,all_positions,is_versatile
25447.0,Sel-Gi Jang,Korea Republic Women's,0.8322985325273234,3,Left Back,Defender,Fullback/Wing-Back,3/7,3,3,"Left Back, Left Wing Back, Left Center Back",True
402467.0,Romina Stefania Núñez,Argentina Women's,0.8256099483612839,3,Right Center Midfield,Midfielder,Central Midfielder,1/4,3,4,"Right Center Midfield, Right Defensive Midfield, Right Wing, Right Midfield",True
10650.0,Jill Roord,Netherlands Women's,0.8122030572428164,5,Right Center Midfield,Midfielder,Central Midfielder,5/9,5,4,"Right Center Midfield, Center Attacking Midfield, Left Center Forward, Right Attacking Midfield",True
10220.0,Kosovare Asllani,Sweden Women's,0.7982033758194359,6,Center Attacking Midfield,Midfielder,Attacking Midfielder,6/7,6,2,"Center Attacking Midfield, Right Attacking Midfield",True
5044.0,Débora Cristiane de Oliveira,Brazil Women's,0.7960688827527599,3,Left Center Forward,Forward,Forward,3/4,3,2,"Left Center Forward, Left Wing Back",True
10252.0,Alex Greenwood,England Women's,0.7960019443510223,7,Left Center Back,Defender,Fullback/Wing-Back,7/8,7,2,"Left Back, Left Center Back",True
401748.0,Sara Kristine Bantan Eggesvik,Philippines Women's,0.7899419475320003,3,Left Midfield,Midfielder,Central Midfielder,3/6,3,3,"Left Midfield, Left Center Midfield, Right Defensive Midfield",True
50020.0,Antionette Oyedupe Payne,Nigeria Women's,0.7840117099994139,4,Right Center Midfield,Midfielder,Central Midfielder,4/7,4,2,"Center Attacking Midfield, Right Center Midfield",True
4979.0,Katrina Gorry,Australia Women's,0.7728668950752997,7,Right Defensive Midfield,Midfielder,Defensive Midfielder,7/8,7,2,"Right Defensive Midfield, Left Defensive Midfield",True
15284.0,Aitana Bonmati Conca,Spain Women's,0.7457394617257691,7,Right Center Midfield,Midfielder,Central Midfielder,7/8,7,2,"Right Center Midfield, Right Defensive Midfield",True
402784.0,Carina Alicia Baltrip-Reyes,Panama Women's,0.7297745292656046,3,Left Back,Defender,Fullback/Wing-Back,4/6,3,3,"Left Back, Right Center Back, Left Wing Back",True
46639.0,Ona Batlle Pascual,Spain Women's,0.727579741494733,7,Right Back,Defender,Fullback/Wing-Back,6/9,7,2,"Left Back, Right Back",True
24881.0,Asisat Lamina Oshoala,Nigeria Women's,0.7116240100079717,4,Center Forward,Forward,Forward,5/6,4,2,"Center Forward, Left Center Forward",True
402788.0,Emily Masiel Cedeño Coba,Panama Women's,0.7093208777244066,3,Right Midfield,Midfielder,Central Midfielder,2/4,3,2,"Right Midfield, Right Wing",True
403290.0,Yu-Ri Choe,Korea Republic Women's,0.7038024126971818,3,Right Midfield,Midfielder,Central Midfielder,2/8,3,7,"Left Midfield, Left Wing, Right Midfield, Right Center Forward, Left Center Forward, Left Defensive Midfield, Right Defensive Midfield",True
32105.0,Seraina Piubel,Switzerland Women's,0.701974053057471,4,Right Wing,Forward,Winger,3/8,4,5,"Right Wing, Left Wing, Right Attacking Midfield, Right Center Forward, Left Center Midfield",True
10399.0,Kathrin Julia Hendrich,Germany Women's,0.689445748672572,3,Right Center Back,Defender,Fullback/Wing-Back,3/3,3,1,Right Center Back,False
401877.0,Thu Thảo Trần Thị,Vietnam Women's,0.6832866735216959,3,Right Wing Back,Defender,Fullback/Wing-Back,4/4,3,1,Right Wing Back,False
389494.0,Sinead Farrelly,Republic of Ireland Women's,0.680042428813933,3,Left Wing,Forward,Winger,2/3,3,2,"Left Wing, Right Wing",True
10178.0,Lucy Bronze,England Women's,0.6693574686125585,7,Right Wing Back,Defender,Fullback/Wing-Back,6/11,7,3,"Right Back, Right Wing Back, Right Center Back",True
46972.0,Luana Bühler,Switzerland Women's,0.6516175728131708,1,Right Center Back,Defender,Fullback/Wing-Back,1/1,1,1,Right Center Back,False
85500.0,Mina Tanaka,Japan Women's,0.6445301796616845,5,Center Forward,Forward,Forward,5/5,5,1,Center Forward,False
25559.0,Tamires Cássia Dias de Britto,Brazil Women's,0.6404179037890791,3,Left Back,Defender,Fullback/Wing-Back,3/4,3,2,"Left Back, Left Center Back",True
25640.0,María Florencia Bonsegundo,Argentina Women's,0.6379803883996441,3,Left Wing,Forward,Winger,3/5,3,3,"Left Wing, Left Center Midfield, Left Midfield",True
46987.0,Jule Brand,Germany Women's,0.6280408078839662,3,Right Wing,Forward,Winger,6/10,3,2,"Right Wing, Left Wing",True
