player_id,player,team,average_z_score,matches_played
402661.0,Ibtissam Jraïdi,Morocco Women's,0.3278567626816174,4
402118.0,Karabo Dhlamini,South Africa Women's,0.32614883822067975,3
10165.0,Irene Paredes Hernandez,Spain Women's,0.3250335955297157,7
10141.0,Ana Borges,Portugal Women's,0.32191247179940014,3
4642.0,Millie Bright,England Women's,0.31600843916729227,7
402012.0,Sherly Jeudy,Haiti Women's,0.3143049470453134,3
25490.0,Rui Zhang,China PR Women's,0.31344731756411376,2
131575.0,Mengwen Li,China PR Women's,0.3099306220568349,3
401929.0,Hikaru Naomoto,Japan Women's,0.3057825510971852,3
401925.0,Aoba Fujino,Japan Women's,0.30410780673474125,5
15555.0,Lauren Hemp,England Women's,0.2999892443652028,7
62710.0,Johanna Rytting-Kaneryd,Sweden Women's,0.298943613118135,7
10222.0,Jonna Ann-Charlotte Andersson,Sweden Women's,0.29865369075446796,6
34486.0,Gloriana Jesus Villalobos Vega,Costa Rica Women's,0.284146443268885,3
25520.0,Lebogang Ramalepe,South Africa Women's,0.28350234562876697,4
401645.0,Mathilde Hauge Harviken,Norway Women's,0.26564709314063806,4
25633.0,Eliana Noemí Stábile,Argentina Women's,0.2653994216560215,3
401876.0,Thị Hải Linh Trần,Vietnam Women's,0.256950753319119,3
10666.0,Dominique Johanna Anna Petrone Janssen,Netherlands Women's,0.25028573691544037,5
34477.0,Mariana De Los Angeles Benavidez,Costa Rica Women's,0.24584070682354733,3
10259.0,Lina Magull,Germany Women's,0.24439750493917697,2
131586.0,Kyra Lillee Cooney-Cross,Australia Women's,0.24428051270204568,7
5095.0,Ellie Madison Carpenter,Australia Women's,0.23525157961987242,7
62910.0,Ana Rita Silva Seiça,Portugal Women's,0.23249338116721124,1
401890.0,Hải Yến Phạm,Vietnam Women's,0.2252889021924175,3
15421.0,Kenza Dali,France Women's,0.225179444862865,4
359388.0,Aldrith Ivana Quintero Humphries,Panama Women's,0.22510727162568303,3
10125.0,Wendie Renard,France Women's,0.21006003016230798,4
34875.0,Andreia Alexandra Norton,Portugal Women's,0.2093935073886327,3
25743.0,Luana Bertolucci Paixão,Brazil Women's,0.2083486111246162,3
87195.0,Janni Thomsen,Denmark Women's,0.20791186824122546,4
25624.0,Risa Shimizu,Japan Women's,0.20634719543086502,5
10418.0,Eve Perisset,France Women's,0.20454475225081084,3
15357.0,Kadeisha Buchanan,Canada Women's,0.2043923313504348,3
5055.0,Lynn Raenie Williams,United States Women's,0.20063117063355473,2
402466.0,Camila Gómez Ares,Argentina Women's,0.19847973430354074,1
10419.0,Géraldine Reuteler,Switzerland Women's,0.197533484824823,4
131694.0,Martha Tembo,Zambia Women's,0.19695734235796736,3
401803.0,María Paula Coto González,Costa Rica Women's,0.19536296425646907,3
35406.0,Ruesha Littlejohn,Republic of Ireland Women's,0.19197854841544515,3
62913.0,Francisca Ramos Ribeiro Nazareth Sousa,Portugal Women's,0.18413946516686594,3
349028.0,Giulia Dragoni,Italy Women's,0.18248727257403874,3
401808.0,Fabiola Villalobos Morales,Costa Rica Women's,0.16961809443848833,3
401745.0,Quinley Mirielle Campomanes Quezada-Keča,Philippines Women's,0.1667112634937761,3
50003.0,Antonia Ronnycleide da Costa Silva,Brazil Women's,0.1630341356401275,3
23413.0,Megan Connolly,Republic of Ireland Women's,0.1490420604624558,3
10274.0,Nicoline Sørensen,Denmark Women's,0.14880824809791593,3
34550.0,Hye-Ji Hong,Korea Republic Women's,0.14464765042926014,1
5028.0,Katie Bowen,New Zealand Women's,0.1434637206337229,3
26092.0,Amanda Ilestedt,Sweden Women's,0.13756536185926224,7
25491.0,Marina Hegering,Germany Women's,0.13675729580673407,1
4633.0,Magdalena Lilly Eriksson,Sweden Women's,0.13538391554953938,7
25663.0,Elizabeth Doon Hassett,New Zealand Women's,0.1338435641766913,3
25556.0,Kathellen Sousa Feitoza,Brazil Women's,0.12905419308741298,1
15648.0,Melanie Leupolz,Germany Women's,0.12436218568364447,1
402024.0,Lingwei Yao,China PR Women's,0.12074553105925598,2
10516.0,Frida Maanum,Norway Women's,0.11931042292201231,4
25557.0,Deneisha Selena Blackwood,Jamaica Women's,0.11806730315338218,4
31534.0,Ella Toone,England Women's,0.11678977390813187,6
401732.0,Jaclyn Katrina Demis Sawicki,Philippines Women's,0.11482433338157964,3
19422.0,Jessica Carter,England Women's,0.11024142179274804,6
5058.0,Rachel Daly,England Women's,0.1051820513698778,7
62905.0,Catarina Amado,Portugal Women's,0.10440629058751838,2
10407.0,Eseosa Aigbogun,Switzerland Women's,0.10228935995076495,4
30971.0,Sandie Toletti,France Women's,0.09894001870992183,4
25638.0,Moeka Minami,Japan Women's,0.090317393499921,5
32162.0,Arianna Caruso,Italy Women's,0.08663981679409355,3
182466.0,Lauren Eduarda Leal Costa,Brazil Women's,0.07219932257709849,2
402796.0,Schiandra Yael González Jurado,Panama Women's,0.06862905338418193,3
401883.0,Loan Hoàng Thị,Vietnam Women's,0.06621179128222064,3
25834.0,Viviane Asseyi,France Women's,0.0629879772232817,1
25553.0,Trudi Sudan Carter,Jamaica Women's,0.06234990966494497,2
401930.0,Riko Ueki,Japan Women's,0.0610903377972832,5
107491.0,Emily Ann Fox,United States Women's,0.05883573928180402,4
46564.0,Salma Amani,Morocco Women's,0.05269253048452197,3
4949.0,Rosemary Kathleen Lavelle,United States Women's,0.04861090341094713,3
62908.0,Christy Onyenaturuchi Ucheibe,Nigeria Women's,0.04712156459178297,4
25729.0,Klara Bühl,Germany Women's,0.04335141562845807,3
25469.0,Halimatu Ibrahim Ayinde,Nigeria Women's,0.04269757629586738,3
403271.0,Ana María Guzmán Zapata,Colombia Women's,0.03992062823673769,2
45638.0,Sofia Cantore,Italy Women's,0.036350853081202006,3
25466.0,Vilde Bøe Risa,Norway Women's,0.023766213059194324,4
401926.0,Hana Takahashi,Japan Women's,0.019955841799111845,3
87191.0,Rikke Marie Madsen,Denmark Women's,0.01815644383403054,4
276443.0,Kathrine Møller Kühl,Denmark Women's,0.013576364573384013,4
15471.0,Selma Bacha,France Women's,0.013249873331424841,4
10111.0,Simone Boye-Sørensen,Denmark Women's,0.011601783901600826,4
87185.0,Stine Ballisager Pedersen,Denmark Women's,0.006385752004832897,3
10140.0,Dolores Isabel Jacome Silva,Portugal Women's,-0.003596938448657716,2
131645.0,Julia Angela Grosso,Canada Women's,-0.006389643761751801,3
276577.0,Telma Raquel Velosa Encarnação,Portugal Women's,-0.008301092071076951,3
32230.0,Karen Holmgaard,Denmark Women's,-0.011101196777752786,4
47117.0,Benedetta Orsi,Italy Women's,-0.013843125432298407,1
403283.0,Carolina Arias Vidal,Colombia Women's,-0.016078471432305584,5
131618.0,Ireen Lungu,Zambia Women's,-0.02052364435535431,2
402465.0,Julieta Micaela Cruz Navarrete,Argentina Women's,-0.02175705043013626,2
49836.0,Olga  Carmona García,Spain Women's,-0.023327889895818004,6
222682.0,Salma Paralluelo Ayingono,Spain Women's,-0.026933407094397892,7
31784.0,Maëlle Lakrar,France Women's,-0.02974870271737401,4
4967.0,Raquel Rodriguez,Costa Rica Women's,-0.03862684149054052,2
10374.0,Svenja Huth,Germany Women's,-0.04304213376764996,3
21048.0,Rosella Ayane,Morocco Women's,-0.04669096867600564,4
299860.0,Fuka Nagano,Japan Women's,-0.05211810051829198,5
34873.0,Fátima Alexandra Figueira Pinto,Portugal Women's,-0.05286544147591975,1
25546.0,Cheyna Lee Matthews,Jamaica Women's,-0.05842050300876114,4
5076.0,Emily Louise van Egmond,Australia Women's,-0.06823119148978993,7
5088.0,Crystal Alyssia Dunn Soubrier,United States Women's,-0.07683834372015498,4
401873.0,Thị Mỹ Anh Nguyễn,Vietnam Women's,-0.07961188139193798,2
10097.0,Frederikke Thøgersen,Denmark Women's,-0.09323353369770658,1
276288.0,Tuva Hansen,Norway Women's,-0.09520648258099378,4
25476.0,Lea Schüller,Germany Women's,-0.0953478347562134,3
6811.0,Julie Beth Ertz,United States Women's,-0.09678172281201979,4
403291.0,Casey Yu-Jin Phair,Korea Republic Women's,-0.10050094505002465,3
10654.0,Jackie Groenen,Netherlands Women's,-0.10169515657456049,5
46999.0,Chantal Hagel,Germany Women's,-0.10235113382336963,3
402127.0,Wendy Shongwe,South Africa Women's,-0.11072613957224658,2
401884.0,Thị Vân Dương,Vietnam Women's,-0.11876976705606117,3
25660.0,Annalie Longo,New Zealand Women's,-0.12116438908125911,2
389446.0,Jessika Rebecca Macayan Cowart,Philippines Women's,-0.12395710954596097,3
221887.0,Wieke Hendrikje Maria Kaptein,Netherlands Women's,-0.12597413014172387,1
25450.0,Young-Ju Lee,Korea Republic Women's,-0.13763569115569235,1
402013.0,Roseline Éloissaint,Haiti Women's,-0.13890828595477303,3
46459.0,Katja Snoeijs,Netherlands Women's,-0.14049338846290926,4
401633.0,"Aine O""Gorman",Republic of Ireland Women's,-0.14576341814076665,1
31531.0,Lauren James,England Women's,-0.15083586164120938,5
